t,y
1.427,1.691
1.429,1.691
1.429,1.690
1.431,1.690
1.432,1.689
1.432,1.689
1.434,1.689
1.434,1.688
1.436,1.688
1.437,1.688
1.437,1.687
1.439,1.687
1.440,1.687
1.441,1.686
1.442,1.686
1.442,1.685
1.444,1.685
1.445,1.685
1.445,1.684
1.447,1.684
1.447,1.684
1.449,1.683
1.450,1.683
1.450,1.683
1.452,1.682
1.452,1.682
1.454,1.681
1.455,1.681
1.455,1.681
1.457,1.680
1.457,1.680
1.459,1.680
1.460,1.679
1.460,1.679
1.462,1.679
1.463,1.678
1.464,1.678
1.465,1.678
1.465,1.677
1.467,1.677
1.468,1.676
1.468,1.676
1.470,1.676
1.470,1.675
1.472,1.675
1.473,1.675
1.473,1.674
1.475,1.674
1.475,1.674
1.477,1.673
1.478,1.673
1.478,1.673
1.480,1.672
1.480,1.672
1.482,1.671
1.483,1.671
1.483,1.671
1.485,1.670
1.485,1.670
1.487,1.670
1.488,1.669
1.488,1.669
1.490,1.669
1.491,1.668
1.491,1.668
1.493,1.668
1.493,1.667
1.495,1.667
1.496,1.666
1.496,1.666
1.498,1.666
1.498,1.665
1.500,1.665
1.501,1.665
1.501,1.664
1.503,1.664
1.503,1.664
1.505,1.663
1.506,1.663
1.506,1.663
1.508,1.662
1.508,1.662
1.510,1.661
1.511,1.661
1.511,1.661
1.513,1.660
1.514,1.660
1.515,1.660
1.516,1.659
1.516,1.659
1.518,1.659
1.519,1.658
1.520,1.658
1.521,1.658
1.521,1.657
1.523,1.657
1.524,1.657
1.525,1.656
1.526,1.656
1.526,1.655
1.528,1.655
1.529,1.655
1.530,1.654
1.531,1.654
1.531,1.654
1.533,1.653
1.534,1.653
1.534,1.653
1.536,1.652
1.536,1.652
1.538,1.652
1.539,1.651
1.539,1.651
1.541,1.651
1.542,1.650
1.543,1.650
1.544,1.650
1.544,1.649
1.546,1.649
1.547,1.648
1.548,1.648
1.549,1.648
1.549,1.647
1.551,1.647
1.552,1.647
1.553,1.646
1.554,1.646
1.554,1.646
1.556,1.645
1.557,1.645
1.557,1.645
1.559,1.644
1.559,1.644
1.561,1.644
